Store ID,Country,City,Latitude,Longitude,Brand Owner,Brand Owner Origin,Address,Company Name,Fascia,Floorspace,Format,Price Range
rec6TquRmKihSFw2k,Nigeria,Lagos,6.551312,3.325313,Qupids Supermarket,Nigeria,"33 Fatai Irawo St, Ajao Estate, Lagos, Nigeria",Qupids,Qupids Supermarket,50,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
reciMbjLIypplzQ6D,Nigeria,Lagos,6.625438,3.483937,Ranketh Supermarket,Nigeria,"Odogunyan Bus Stop, 270 Ikorodu - Shagamu Rd, Ikorodu, Nigeria",Ranketh Supermarket,Ranketh Supermarket,100,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
rec63CGstJWQeEa5C,Nigeria,Lagos,6.4469098,3.4721256,Renee Supermarkets,Nigeria,"Victoria Arobieke St, Lekki Phase I",Renee,Renee Supermarket,300,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Premium
rec7kq02j4SLzgEf4,Nigeria,Lagos,6.4552027,3.4378107,Renee Supermarkets,Nigeria,"45 Cameron Road, Ikoyi, Eti Osa",Renee,Renee Supermarket,300,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Premium
recimB2GELBC7PDDB,Nigeria,Lagos,6.504437,3.602437,Replenish Supermarket,Nigeria,"Bakery bus stop, Badore Rd, Aja, Lekki, Nigeria",Replenish Supermarket,Replenish Supermarket,120,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recq7AQiYvwtpJgc0,Nigeria,Lagos,6.552188,3.364313,Rite Price Supermarket,Nigeria,"Folayemi St, Ilupeju, Lagos, Nigeria",Rite Price Supermarket,Rite Price Supermarket,150,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recRzdNl8mA1oWJv6,Nigeria,Lagos,6.429813,3.481937,Ritemix Supermarket,Nigeria,"9 Nike Art Gallery Rd, Lekki Phase 1 105102, Lekki, Nigeria",Ritemix Supermarket,Ritemix Supermarket,120,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recgqfKHNaP5i3pxT,Nigeria,Lagos,6.482188,3.039438,Riteos Smile Supermarket,Nigeria,"Pure Water Bustop, Ago Ogungbe Rd, Lagos, Nigeria",Riteos Smile Supermarket,Riteos Smile Supermarket,60,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
recSpm8uazb4rJ7mP,Nigeria,Lagos,6.508313,3.384188,Roades Consult,Nigeria,"52/54 Murtala Muhammed Way, Lagos Mainland 100001, Lagos, Nigeria",Roades Consult,Roades Consult,80,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Mid-level
recz2D6a2eKP26Zeu,Nigeria,Lagos,6.488938,3.348313,Royal Peace Supermarket,Nigeria,"3/6 Alaka Shopping Mall 1 Taioridi Street, off Bode Thomas Street, Surulere 101211, Lagos, Nigeria",Royal Peace Supermarket,Royal Peace Supermarket,100,"Supermarket (Supermarkets, Hypermarkets and Department Stores)",Basic
